Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Average Demand (MW)
6.4,15.1,0.0,1.4,9.0,5734.19
4.2,16.7,0.0,2.2,8.8,5713.83
5.5,16.9,0.0,1.2,6.8,5481.38
10.5,17.2,0.0,1.4,8.9,5457.91
9.7,14.5,0.2,2.8,1.7,5701.3
6.6,10.6,6.6,2.8,4.5,5632.6
6.5,13.1,0.2,1.2,3.5,5544.45
4.6,13.1,0.4,1.6,1.9,6363.51
6.7,13.2,0.0,1.0,0.6,6234.43
6.8,13.1,0.0,0.8,2.2,6091.17
4.4,12.55,0.0,1.8,8.3,6240.45
2.0,12.0,0.0,1.0,9.0,6229.19
3.2,14.2,0.0,0.8,6.6,5601.77
5.0,16.1,0.0,0.8,5.7,5160.51
5.9,16.1,0.0,3.0,5.1,5677.66
8.9,14.4,0.4,2.4,2.4,5829.94
9.8,13.9,2.2,3.0,0.5,5916.81
10.0,17.1,3.0,1.6,7.0,5458.68
10.9,15.2,0.2,0.8,2.4,5633.04
7.6,13.7,0.2,2.8,0.8,5341.66
8.5,14.2,4.2,1.0,3.0,5137.36
9.1,13.0,0.0,1.8,2.9,5861.55
9.9,11.4,0.6,2.2,0.3,6184.02
6.5,13.6,10.8,1.6,2.8,6042.62
5.1,11.8,0.6,2.6,0.1,6192.36
7.8,11.3,0.0,0.6,1.5,6128.53
7.5,14.4,0.0,1.4,3.4,5333.45
5.8,13.0,0.8,3.6,7.2,5330.57
8.1,16.4,0.0,1.0,2.9,5596.04
10.1,17.1,0.0,3.4,4.3,5320.21
11.1,16.8,0.0,5.4,4.7,5431.79
6.7,15.4,0.8,3.4,7.8,5653.89
8.0,14.9,0.0,2.6,6.4,5489.87
9.9,18.1,0.0,7.0,6.3,4708.72
8.0,15.7,18.0,6.8,9.0,4737.6
6.5,15.4,0.0,2.8,9.1,5361.23
8.7,14.5,4.8,2.6,4.1,5647.17
7.8,14.5,0.6,1.8,3.4,5608.13
9.8,15.8,0.4,1.6,3.9,5447.26
10.7,14.2,0.2,2.2,0.6,5532.72
10.5,15.5,0.0,1.6,2.4,5072.34
5.8,16.4,0.6,1.2,5.5,4913.98
7.1,16.4,0.0,2.8,2.7,5509.38
9.1,17.7,0.0,2.4,8.1,5016.91
12.4,19.2,0.0,7.0,3.6,5231.51
8.1,16.6,2.8,4.4,4.7,5356.87
8.1,17.6,0.0,1.2,10.1,5196.06
6.9,18.4,0.0,3.4,7.8,4776.49
10.1,19.0,0.0,3.0,9.1,4278.55
11.0,14.4,0.2,6.6,2.8,5170.94
9.8,13.9,0.4,2.0,3.3,5523.04
7.6,15.5,0.6,1.8,1.8,5544.6
8.2,17.4,0.0,2.6,8.3,5147.72
8.7,17.3,0.8,3.6,3.2,5342.55
10.6,20.0,1.0,3.6,10.2,4416.4
11.3,22.2,0.0,4.0,10.6,4034.6
10.8,14.3,0.8,7.0,5.4,5089.6
6.4,13.1,10.4,4.0,6.2,5339.57
8.0,14.1,2.2,1.2,5.4,5374.11
5.5,12.9,1.2,2.4,1.0,5741.3
4.6,13.6,0.0,1.2,3.8,5712.04
5.3,17.8,0.0,1.6,9.6,4448.55
9.1,16.2,0.6,6.4,4.3,4774.98
6.4,17.6,4.0,1.4,7.4,4938.98
11.0,20.1,0.0,5.8,3.6,4819.49
9.8,23.5,0.0,6.6,10.7,4495.55
15.0,26.6,0.0,7.6,10.8,4183.36
20.1,23.0,0.0,12.0,2.5,4851.21
10.1,14.1,38.2,4.4,4.1,4488.96
8.3,13.6,9.6,4.4,6.4,4376.77
9.1,15.5,1.0,1.8,10.4,4709.7
10.5,16.2,0.0,3.2,4.9,5015.83
9.7,20.8,0.0,1.4,11.0,4611.06
12.2,25.8,0.0,5.2,8.5,4399.94
11.4,18.8,0.0,6.2,2.9,4847.74
13.2,22.8,0.0,6.4,1.1,4198.34
10.3,16.2,0.0,5.2,7.3,4307.4
7.1,14.3,5.6,3.6,9.1,5006.34
5.5,14.1,0.2,2.4,8.5,5123.23
5.3,15.9,0.2,3.0,10.8,5033.45
4.5,16.0,0.0,3.4,9.1,4999.91
7.1,22.2,0.0,3.6,5.8,4643.0
12.1,16.2,0.8,5.4,9.3,4159.11
8.7,18.0,0.8,5.8,2.6,4335.91
10.7,13.8,0.4,5.6,6.6,4979.0
6.3,13.2,8.0,3.0,3.5,5359.45
7.9,17.8,0.2,0.8,6.2,4997.36
10.0,21.5,0.0,2.8,11.4,4453.28
11.0,18.8,0.0,7.6,9.1,4121.79
7.1,12.8,0.0,4.6,5.9,4446.87
5.0,15.4,0.2,2.4,9.7,4169.72
5.1,19.4,0.0,3.8,11.2,4584.43
7.7,23.0,0.0,6.0,9.1,4517.79
12.6,19.3,0.0,5.2,0.8,4732.4
13.1,18.1,3.4,2.0,0.4,4921.28
13.6,22.2,21.8,2.8,5.8,4642.43
13.4,17.2,11.6,3.0,3.5,4331.28
12.6,22.0,0.0,1.4,5.9,4042.7
11.8,18.1,1.0,3.0,8.0,4430.85
11.5,17.4,2.2,5.4,5.7,4770.51
8.2,21.6,0.2,4.4,8.6,4494.45
9.4,16.4,4.0,6.2,10.3,4496.32
7.0,20.8,0.0,4.0,11.7,4406.0
11.5,24.8,0.0,7.2,8.1,3932.81
10.0,14.9,2.2,5.4,7.6,3969.83
7.4,14.4,0.4,4.0,4.4,4804.3
5.5,21.3,0.0,2.8,9.9,4570.68
9.9,18.8,0.0,3.6,3.1,4687.53
8.2,19.4,14.8,6.2,10.0,4678.4
9.3,17.1,0.6,4.6,5.0,4844.23
11.1,16.0,26.4,1.6,3.4,4362.57
10.8,17.4,0.4,4.8,5.6,4236.45
9.9,16.9,0.0,2.0,0.9,4972.34
9.2,16.4,0.8,2.6,5.0,4727.13
8.4,23.0,0.0,3.2,12.0,4297.32
13.1,25.8,0.0,5.2,3.2,4437.32
13.7,27.3,0.0,4.6,6.1,4538.26
12.7,16.1,14.6,7.6,0.0,4365.49
10.1,15.3,2.0,1.8,7.2,4017.64
10.4,15.2,0.8,4.4,5.1,4691.47
6.3,18.1,0.0,2.2,11.7,4501.74
9.4,27.2,0.0,4.8,10.9,4206.26
15.4,28.3,0.2,9.2,5.4,4537.51
11.3,15.5,5.0,8.2,6.4,4291.09
7.3,15.9,1.0,4.2,7.8,4174.55
6.7,19.6,0.4,2.0,12.9,3812.28
8.7,23.2,0.0,4.6,12.5,4116.28
11.1,29.7,0.0,6.0,12.0,3782.89
16.5,25.1,0.0,12.6,0.1,4732.68
13.5,17.5,45.4,3.0,8.3,4180.66
13.3,22.9,0.0,3.8,7.9,4441.15
16.6,27.0,0.0,5.4,4.3,4083.68
12.9,16.5,15.4,5.2,0.0,4023.38
12.0,17.4,0.2,2.4,7.9,4457.72
8.0,20.3,0.0,4.2,9.2,4474.21
11.7,15.2,10.0,5.0,2.3,4821.06
8.7,16.4,10.0,2.6,6.9,4496.34
11.0,14.0,1.0,4.4,0.0,5149.72
10.3,14.6,10.4,5.8,2.2,4411.57
7.6,15.3,1.6,1.2,8.8,4212.34
8.7,13.8,1.6,5.0,6.0,4881.83
8.2,15.0,0.2,4.4,1.2,5241.15
10.1,19.8,0.0,1.2,8.2,4617.89
10.9,26.9,0.0,5.0,5.2,4461.72
13.1,17.3,0.2,9.2,2.1,4531.3
13.0,16.9,0.0,3.4,7.6,3986.6
11.8,17.2,0.0,5.4,9.1,3693.17
10.2,20.8,0.0,5.0,11.4,4223.91
14.7,26.1,0.0,6.8,2.4,4585.68
17.5,26.6,0.0,5.6,4.4,4721.94
15.4,16.7,0.0,4.2,0.0,4793.98
13.0,20.6,0.6,0.0,2.8,4236.3
11.4,21.6,0.0,5.8,12.8,3545.06
9.8,22.1,0.0,7.0,12.1,3536.98
10.1,28.7,0.0,6.4,12.5,4484.66
14.4,31.6,0.0,8.0,13.6,5011.91
18.5,32.4,0.0,11.4,5.2,5181.66
18.4,33.0,11.8,12.2,8.8,5117.96
13.0,20.4,8.8,7.0,11.7,4334.98
12.5,18.8,0.0,6.8,2.7,3924.72
10.2,21.5,0.0,3.4,13.0,3707.57
12.8,27.4,0.0,7.6,10.8,4541.7
15.0,16.0,0.6,8.6,0.1,4811.53
10.7,17.3,2.0,3.0,8.7,4349.64
12.2,17.7,1.8,5.0,0.2,4772.91
13.5,17.9,0.0,2.2,6.2,4351.15
12.6,22.4,0.0,4.6,8.6,3902.06
10.4,28.7,0.0,6.2,13.0,3879.47
15.3,32.7,0.0,8.0,8.3,4949.43
15.9,21.0,0.0,10.4,11.2,4720.98
15.2,17.7,0.0,6.0,0.0,4932.66
12.8,19.9,0.0,3.0,11.4,4330.83
9.9,30.8,0.0,6.8,10.2,4730.11
16.6,33.5,0.0,12.8,11.0,4558.57
15.2,23.1,0.0,8.6,4.2,3999.94
12.2,28.6,1.8,6.8,12.9,4129.15
15.3,24.9,0.0,7.8,13.1,4329.55
15.8,19.8,0.0,7.6,6.2,4286.79
13.8,19.9,0.0,5.8,8.7,4078.83
11.9,26.4,0.0,6.4,13.1,4151.7
16.9,21.7,0.0,6.8,6.1,3520.49
15.1,18.8,0.0,8.0,2.7,3341.51
13.9,23.3,0.2,5.8,9.7,3334.96
11.4,22.6,0.0,8.0,11.9,3398.38
11.9,22.4,0.0,8.0,13.7,3914.15
14.0,34.4,0.0,6.8,12.4,4593.13
16.6,37.7,0.0,11.4,12.8,5355.09
20.5,37.1,0.0,16.4,8.5,5057.21
20.9,30.9,0.0,11.6,8.6,4578.87
16.8,20.3,0.0,10.0,10.5,3732.83
16.2,23.1,0.0,7.6,0.5,4303.02
18.5,29.3,0.0,1.8,5.0,4563.11
18.3,30.2,0.0,6.6,9.9,4946.02
20.1,25.8,1.4,7.8,5.2,4918.21
17.1,19.7,24.8,5.0,4.8,4182.64
16.1,21.9,0.0,2.4,9.7,3980.3
15.5,31.4,0.2,6.8,10.9,5012.94
18.5,29.7,0.0,8.0,10.8,4995.66
18.6,30.4,0.0,7.6,11.7,5074.53
17.6,34.6,0.0,8.2,9.8,5462.04
20.8,32.8,0.0,10.4,8.9,5795.74
18.8,24.2,6.0,9.0,5.0,4546.79
18.3,31.9,0.0,5.8,11.6,4728.7
18.4,24.2,0.0,8.0,7.3,4904.13
17.1,21.3,0.0,7.6,6.1,4437.81
15.4,26.7,0.0,7.2,13.6,4388.91
12.9,30.4,0.0,10.0,13.6,4750.6
17.1,29.6,0.0,8.8,13.5,5189.79
17.7,32.3,0.0,12.0,13.3,5047.94
18.1,32.6,0.0,11.4,11.9,5257.06
20.2,33.7,0.0,10.8,10.6,6175.04
20.1,31.4,0.0,10.0,12.8,6307.98
19.6,36.0,0.0,9.2,10.5,5904.06
21.2,32.8,7.0,13.0,9.7,6308.96
21.7,32.8,1.6,13.2,4.6,6118.19
17.5,21.8,38.6,5.4,0.3,4494.32
18.7,29.2,0.0,3.0,6.2,4800.32
20.1,34.0,0.0,4.4,10.9,6207.87
19.8,23.6,0.0,9.6,8.4,4880.19
